,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
32,/organization/1000chi,/funding-round/854fae13c5b26b2ea6b32b06c2e5890c,angel,,01-04-2010,43923865.0
51,/organization/1006-tv,/funding-round/a3631227d5232aa8c2303f252c4f1f87,angel,,01-01-2011,
69,/organization/10seconds-software,/funding-round/dacf342722793cb7485fbdbd7530461d,angel,,01-07-2010,100000.0
79,/organization/115-network-disks,/funding-round/0966b3b472f4b912e167abaf8d06f77d,angel,,01-11-2011,
93,/organization/121nexus,/funding-round/9df05fa02b09752fcd0ecbf4e167cbef,angel,,22-01-2013,500000.0
98,/organization/123contactform,/funding-round/b678dec4e0df10e2518a81215f8fd843,angel,,01-01-2010,
106,/organization/12return,/funding-round/5002742a51863b56c788a14348c2c03a,angel,,01-06-2012,619494.0
125,/organization/15five,/funding-round/6c390df9112bb5ee560d419450536bd7,angel,,15-01-2013,1000000.0
126,/organization/15five,/funding-round/e7ce4181f0de392140ff584986340a54,angel,,01-01-2012,200000.0
130,/organization/169-st,/funding-round/83b14cdf635963a5abc50cdafd9b462d,angel,,01-06-2009,50000.0
143,/organization/17zuoye,/funding-round/afb6af473d17ff47d29e6e680c959379,angel,,01-01-2011,
154,/organization/1calendar,/funding-round/539642353b091d79974fef89a7c65df2,angel,,04-04-2008,40000.0
177,/organization/1mpact-revolution-powering-helpfreely-org,/funding-round/027c0a116d990577e68b3e5973b7319f,angel,,01-05-2014,221592.0
180,/organization/1mpact-revolution-powering-helpfreely-org,/funding-round/ff727fc589c2cdcc7e39897c370a0658,angel,,01-05-2015,447061.0
196,/organization/1stgig-com,/funding-round/accd367ad22c9ce16758f71a70d5e8b3,angel,,01-10-2012,750000.0
226,/organization/21cake-food-co,/funding-round/6593ecb9d67c5d9411edbd6aa72eef0b,angel,,22-01-2010,1464128.0
263,/organization/24-quan,/funding-round/47b438e969ebaa281c937bdcddc4b732,angel,,01-05-2010,
281,/organization/24tidy,/funding-round/7cd8f190c78d50398dc4f055e90d1388,angel,,27-12-2013,164473.0
282,/organization/250ok,/funding-round/48ec7846d8047f86848c7f472de946c5,angel,,01-03-2014,100000.0
288,/organization/280-north,/funding-round/2716f89340d144543b453ae798f18eb0,angel,,01-03-2008,250000.0
310,/organization/2dheat,/funding-round/555c226a44a28ca514634450e74e3924,angel,,24-10-2014,157000.0
313,/organization/2dheat,/funding-round/c62ddc12e22867d4302c2b3c1a2eac14,angel,,24-10-2014,52183.0
316,/organization/2go-software-solutions,/funding-round/13bc9cf6f8aeb0d318462b611e97f566,angel,,09-04-2010,275000.0
338,/organization/2threads,/funding-round/efb5d1c9224f378bfe33faf65930a4b4,angel,,01-06-2008,200000.0
346,/organization/2web-technologies,/funding-round/79717b731ec29c98a7815661262af68d,angel,,01-12-2001,
376,/organization/33coupons,/funding-round/fc7f4eba112e0df25e9a56b037657820,angel,,06-07-2015,20000.0
