,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
21,/organization/1-800-publicrelations-inc-,/funding-round/11c228f58831bc7ed337ef69ecc560c2,private_equity,,01-02-2015,6000000.0
153,/organization/1c-company,/funding-round/679ae989d9dd8195e989dda21eff44b7,private_equity,,03-10-2011,200000000.0
178,/organization/1mpact-revolution-powering-helpfreely-org,/funding-round/79a4c8a647e32bbe269f5c7489080cf9,private_equity,,01-11-2015,
231,/organization/21st-century-oncology,/funding-round/261bff457e1b31c4879e786ab7cf80ab,private_equity,,26-09-2014,325000000.0
275,/organization/24med-sp,/funding-round/346594127162a8229bd16903735b1c2b,private_equity,,01-01-2008,
312,/organization/2dheat,/funding-round/b1308b31d7a416eb1200b9bb42c9a08f,private_equity,,24-10-2014,200708.0
326,/organization/2nd-story-software-inc,/funding-round/c7647b519b16454c1abe9f310ea2a34c,private_equity,,30-03-2005,85000000.0
336,/organization/2theloo,/funding-round/6500ebef24ea62b4962b111f04a8e3e2,private_equity,,10-07-2013,
534,/organization/3power-energy-group,/funding-round/30d107e92eddb3b3791013d29328986d,private_equity,,11-03-2011,50000000.0
540,/organization/3scale,/funding-round/9e87c098957bd69cc8b5bb544b8cf351,private_equity,,24-04-2013,4200000.0
569,/organization/4-33-creative-lab,/funding-round/eff7c787489004130d48678f16d9c466,private_equity,,13-11-2014,100000000.0
623,/organization/4dk-technologies,/funding-round/4fcba8428540e1f34fb8af1d0393c57e,private_equity,,12-12-2011,3378975.0
642,/organization/4med-centra-medyczne,/funding-round/c02e9ff8510232dc2edf92e050686c51,private_equity,,01-01-2008,
659,/organization/4tech,/funding-round/11cde5481e86cf43d357448a4abbdd67,private_equity,,21-12-2011,7000000.0
674,/organization/5-cups-and-some-sugar,/funding-round/05b6f1a4235621b85d8171c673412bd0,private_equity,,23-07-2013,385980.0
763,/organization/5i-sciences,/funding-round/aa0be3e1a8717029e28c4a37760d067e,private_equity,,11-08-2014,3000000.0
982,/organization/99inn-cc,/funding-round/f263305ba60a397879be3009059c5dab,private_equity,,01-08-2012,75000000.0
1018,/organization/9you,/funding-round/4fa7741a7510619d30fb18bb148bfc28,private_equity,,20-03-2008,100000000.0
1022,/organization/a-a-manufacturing,/funding-round/669f38465303595d03c67db250a91da0,private_equity,,29-08-2014,110000000.0
1039,/organization/a-gas,/funding-round/63308941de5e947f6bcaf719e6950da7,private_equity,,21-04-2011,115837966.0
1070,/organization/a10-networks,/funding-round/8d1d84e26c1986cc3b001a9aa54f1dde,private_equity,,03-10-2013,80000000.0
1094,/organization/aaipharma-services,/funding-round/2b1039dd6c423b3e49b5b3b1966ddb7b,private_equity,,11-01-2012,20000000.0
1111,/organization/aasonn,/funding-round/25dfbd25f5049ab73e0cbd7030f67f54,private_equity,,04-06-2014,20000000.0
1125,/organization/abaad-embodied-design-llc,/funding-round/ff5fd77cfe131f7716b35c362dcfb03d,private_equity,,01-01-2012,
1127,/organization/abacus-e-media,/funding-round/518bc9f2df1e829de2534c7460c78bcd,private_equity,,01-08-2013,3409315.0
1164,/organization/abc-data,/funding-round/7385d88bb67bdddabaa6451e29694b84,private_equity,,01-01-2007,
1168,/organization/abcam,/funding-round/c228a9c53b557edb2d59dc00c94a100e,private_equity,,27-04-2012,76999653.0
1205,/organization/ability-network,/funding-round/9d34e0f1355429507610348f546310f9,private_equity,,07-04-2014,550000000.0
1270,/organization/abound-solar,/funding-round/5ee945feb0287befce6f1a71193cb85e,private_equity,,15-12-2010,110000000.0
1304,/organization/abril,/funding-round/3ac2316a240a8405c305802b0d120410,private_equity,,09-05-2006,422000000.0
1358,/organization/acacia-research,/funding-round/6b8e90d6b07e58285b689751d1a4f5a9,private_equity,,21-02-2012,225000000.0
1377,/organization/acadia-pharmaceuticals,/funding-round/c961c196d6eb623ac1f63e750083d8a5,private_equity,,02-01-2013,86385000.0
1394,/organization/accalio,/funding-round/3cca80e65eddfc3611c54bf47b4ea716,private_equity,,01-01-2015,
1406,/organization/accela,/funding-round/dc8c512998a7adc839bdc4d1dee5bf32,private_equity,,16-10-2013,40000000.0
1417,/organization/accelerate-diagnostics,/funding-round/a5b27ac5bf478439756881cd2f6d35f5,private_equity,,05-05-2014,45000000.0
1465,/organization/accendo-therapeutics,/funding-round/9a16b56cf523999edb06c06b5296cadd,private_equity,,29-12-2011,4000000.0
1487,/organization/accera,/funding-round/53119144e645b40447fe696560b8d1da,private_equity,,25-10-2013,79081610.0
1505,/organization/access-mediquip,/funding-round/527e8602aa61aa4d63b29278be3a4a97,private_equity,,13-01-2013,46900000.0
1524,/organization/access-uk,/funding-round/9a9b6dab823ffc98e79d644abdc711af,private_equity,,30-03-2011,80157014.0
1527,/organization/accessdata,/funding-round/c6cbe9848f3a3b953db9ee849dd81e57,private_equity,,15-03-2013,20000000.0
1605,/organization/accumetrics,/funding-round/3f65c3c3e8355c4b9121ccfb7c1b3107,private_equity,,30-08-2013,6000001.0
1623,/organization/accurate-group,/funding-round/1f2692c44862e5b8820f0af5761a22ad,private_equity,,11-12-2012,55000000.0
1645,/organization/accuvant,/funding-round/35c26d68a55b76b67ef51018c8efa2da,private_equity,,01-07-2008,
1656,/organization/ace-comm,/funding-round/1ca42fba76f93d2f70476e76ed5727a2,private_equity,,01-01-2007,5000000.0
1676,/organization/acelrx-pharmaceuticals,/funding-round/9d2e7e5caa0afcef3f31d0c9da40f187,private_equity,,07-06-2012,10000002.0
1681,/organization/acer,/funding-round/2568575b8e782736414230eecb4d4771,private_equity,,09-03-2012,150594138.0
1691,/organization/acetylon-pharmaceuticals,/funding-round/2872d538367c8b3adae810c42b163692,private_equity,,09-02-2012,15000000.0
1693,/organization/acetylon-pharmaceuticals,/funding-round/630eaadbc374ec794d2613afa908999c,private_equity,,29-07-2013,100000000.0
1748,/organization/acision,/funding-round/61eb169d9e855fcd90897fa0914b209b,private_equity,,05-10-2010,100000000.0
1768,/organization/aconex,/funding-round/6fd606587fe30a30a127c8b938c137f8,private_equity,,23-09-2008,85000000.0
1787,/organization/acoustic-sensing-technology,/funding-round/3977885a131f716eeaab089b1338553b,private_equity,,09-03-2013,976865.0
1963,/organization/active-implants,/funding-round/a9a43633e6a57302968f65dbc805118d,private_equity,,01-06-2012,4999999.0
2006,/organization/activenetwork,/funding-round/d028be1877ac3dba4e98eeb506fade45,private_equity,,27-08-2008,80000000.0
2011,/organization/activepath,/funding-round/fe5e517f4c2dba0f5d373fb796fc4958,private_equity,,30-11-2012,3250001.0
2024,/organization/activism-com,/funding-round/fc8f78a2eb40176a8acafe2222b7a66e,private_equity,,31-05-2013,
2065,/organization/actv8,/funding-round/b227b36b4dda6d61058cd2639d00b67b,private_equity,,28-09-2012,3264866.0
2073,/organization/acufocus,/funding-round/e3914a6711f102fd53c722545f7a42a7,private_equity,,16-01-2007,
2088,/organization/acumen-holdings,/funding-round/ef335b3c1138fbbadc3b6ceec5536ef7,private_equity,,07-04-2013,83000000.0
2197,/organization/adaptive-advertising-inc,/funding-round/1b4e859a57c85b9f192a543e9c9f6933,private_equity,,01-01-2012,
2279,/organization/adc-therapeutics,/funding-round/198d1b5a8bdcf4762f1ab73296911e97,private_equity,,02-09-2015,80000000.0
2304,/organization/adcole-corporation,/funding-round/762735d505fcf92229920f0cb166f32c,private_equity,,31-07-2014,
2345,/organization/addthis,/funding-round/8731cf51fff4691fe3417c66fbe57a4d,private_equity,,31-10-2011,17000000.0
2446,/organization/adictiz,/funding-round/73b31a1e9c4b1dbb4610d863441831bc,private_equity,,13-11-2012,2539200.0
2487,/organization/aditive,/funding-round/bd53a83bb7c79f157aac3d585671c25a,private_equity,,22-08-2012,3301958.0
2546,/organization/admiral-records-management,/funding-round/e0788ae808eca9fadd3e652892d17867,private_equity,,11-01-2006,2300000.0
2750,/organization/advance-medical,/funding-round/6d0b5f22d8cd2e5c1b2bd07ca7cbaa68,private_equity,,04-09-2013,20000000.0
2752,/organization/advanced-accelerator-applications,/funding-round/7e8c3e2d40b65a2d52442bd016e34108,private_equity,,17-02-2014,52750600.0
2880,/organization/advanced-telecom-group,/funding-round/96e28588238f8622920ba6c2fc14f5ff,private_equity,,10-12-1999,175000000.0
2963,/organization/advisorport,/funding-round/99af88f80d49e906f534721d5e2cda95,private_equity,,01-11-2002,5000000.0
3003,/organization/adynxx,/funding-round/b76224f2c9f41dbf76aea76af21ca726,private_equity,,01-07-2012,2000000.0
3024,/organization/aegea-medical,/funding-round/a3fed0ac78a9492c7ff971e315c296e6,private_equity,,25-05-2011,13366498.0
3077,/organization/aequus-pharmaceuticals,/funding-round/341cac4b692e83c5f6606f4bc62951ee,private_equity,,20-11-2014,4200000.0
3168,/organization/aet-holdings,/funding-round/76feddd7dcd62f95fbae6297f7e25c34,private_equity,,21-08-2014,6000000.0
3202,/organization/afcv-holdings,/funding-round/5046b51602de3dce8217b78e8be69bba,private_equity,,12-07-2012,8000000.0
3217,/organization/affero-lab,/funding-round/e4dfdb36b6add531384687949ca3f379,private_equity,,03-06-2015,
3218,/organization/affero-lab,/funding-round/ef78340aa0ed38c0ec66af04b98aadc3,private_equity,,02-07-2010,13940520.0
3325,/organization/afrifresh-group,/funding-round/22dfe35b9429fecc9f887e4fbf032f58,private_equity,,01-02-2011,20000000.0
3326,/organization/afrifresh-group,/funding-round/96a4435429dd8559730a3e7375a5a75c,private_equity,,10-02-2014,13500000.0
3330,/organization/afrimax,/funding-round/d57bcebf1fa7d1a3a5985d9fcd8f3fea,private_equity,,14-09-2015,120000000.0
3365,/organization/agavoo-videocoferencing,/funding-round/f86850256967a686242b70f4c0006d34,private_equity,,01-06-2013,2100000.0
3390,/organization/agendia,/funding-round/413bb9923bb8416fb5783cbb8a4d0fd0,private_equity,,31-05-2012,65000000.0
3441,/organization/aggamin-pharmaceuticals,/funding-round/be724fb4643197e1ad4ed008b7988c93,private_equity,,18-04-2013,3722355.0
3505,/organization/agiliance,/funding-round/f44f32f43458205e47e8aadb431204d7,private_equity,,01-08-2012,5455361.0
3579,/organization/agorafy,/funding-round/1151fe91b550f359f2de631999e4c6c1,private_equity,,01-11-2010,2000000.0
