,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
2,/organization/-qounter,/funding-round/b44fbb94153f6cdef13083530bb48030,seed,,01-03-2014,700000.0
7,/organization/0ndine-biomedical-inc,/funding-round/2b9d3ac293d5cdccbecff5c8cb0f327d,seed,,11-09-2009,43360.0
9,/organization/0xdata,/funding-round/383a9bd2c04f7038bb543ccef5ba3eae,seed,,22-05-2013,3000000.0
13,/organization/1,/funding-round/03b975068632eba5bfdb937ec8c07a68,seed,,05-02-2014,150000.0
15,/organization/1,/funding-round/e82464f22241715dd1a6c77241055ed1,seed,,20-07-2011,1000050.0
16,/organization/1-2-3-listo,/funding-round/6de4609e894495105bc791ed64361288,seed,,18-02-2013,40000.0
29,/organization/10-minutes-with,/funding-round/f245a74b4c54610ae843e17bdf4d1113,seed,,01-01-2013,400000.0
30,/organization/1000-corks,/funding-round/8f4fa70e24269ddd8bdf6658906b356b,seed,,23-08-2011,40000.0
31,/organization/1000-markets,/funding-round/ce6749b6441f52ccaf38b6d5578779fd,seed,,15-05-2009,500000.0
35,/organization/1000memories,/funding-round/f5fb428ed1e63321f88b3e646ba85f00,seed,,01-01-2010,15000.0
45,/organization/1001-menus,/funding-round/6364929e6f6c94921f9c853f53b10b7a,seed,,15-12-2012,390000.0
48,/organization/1001-menus,/funding-round/9d6619bf66478dd8bf19bfc8dc237770,seed,,27-12-2012,132169.0
58,/organization/100health,/funding-round/441cefff29e87a7b0bcd644b7dbe59c1,seed,,26-11-2014,470000.0
60,/organization/100plus,/funding-round/57ce16d039aa0c61d966397f6db00b02,seed,,30-11-2011,750000.0
63,/organization/10alike,/funding-round/36812b11cf7351e5184c59fecd828dea,seed,,01-01-2013,
64,/organization/10alike,/funding-round/88d987f9cb2c320b809caafe43b8491b,seed,,01-01-2014,
65,/organization/10bestthings,/funding-round/35a58e17c5f6e25658a526fe9f6f8364,seed,,01-04-2009,50000.0
66,/organization/10k-2,/funding-round/95401c8e8336892bf375ad94efd6c725,seed,,04-09-2015,100000.0
67,/organization/10sec,/funding-round/2270c5f7c44fb5b460573166d64ccb55,seed,,31-10-2013,
68,/organization/10sec,/funding-round/3f842b5ec5236ed37e375b73e945ab7f,seed,,08-05-2014,1600000.0
70,/organization/10six,/funding-round/e7e13a354af346863c51e678c63590c1,seed,,01-02-2014,
72,/organization/10tracks-2,/funding-round/e31e2474786f930fd72e292ec34e9126,seed,,31-07-2013,
78,/organization/11-health,/funding-round/064e6e706d1b2928a064c1dde49f05d7,seed,,20-08-2015,1958909.0
82,/organization/12-labs,/funding-round/958803df0c565d11afba52347f7efcde,seed,,26-11-2014,935000.0
86,/organization/121cast,/funding-round/4ff51088be233a23c013689d680f04e5,seed,,13-11-2012,250000.0
87,/organization/121cast,/funding-round/5706e500d4d79b9817de5516456402f2,seed,,30-06-2013,170000.0
